ID,DATE,TEAM1,TEAM2,WINNER
1,19-03-2023,BDS,AST,BDS
2,19-03-2023,XL,MAD,XL
3,19-03-2023,TH,FNC,FNC
4,19-03-2023,SK,KOI,KOI
5,19-03-2023,G2,VIT,G2
