ID,DATE,TEAM1,TEAM2,WINNER
1,26-03-2023,XL,AST,AST
2,26-03-2023,MAD,SK,MAD
3,26-03-2023,KOI,BDS,BDS
4,26-03-2023,VIT,TH,VIT
5,26-03-2023,G2,FNC,FNC
