ID,DATE,TEAM1,TEAM2,WINNER
1,18-03-2023,AST,MAD,MAD
2,18-03-2023,TH,XL,TH
3,18-03-2023,FNC,BDS,BDS
4,18-03-2023,VIT,SK,VIT
5,18-03-2023,KOI,G2,KOI
