ID,DATE,TEAM1,TEAM2,WINNER
1,20-03-2023,XL,SK,SK
2,20-03-2023,MAD,TH,TH
3,20-03-2023,AST,VIT,AST
4,20-03-2023,BDS,G2,G2
5,20-03-2023,FNC,KOI,FNC
